Gene,Sample,RPKM
SARO_RS02000,Glu_01_HTSeq,24.9141238453995
SARO_RS02005,Glu_01_HTSeq,12.0156600498207
SARO_RS02010,Glu_01_HTSeq,11.4551554134228
SARO_RS02015,Glu_01_HTSeq,6.33478824475281
SARO_RS02020,Glu_01_HTSeq,9.52925411176492
SARO_RS02025,Glu_01_HTSeq,46.8573225722986
SARO_RS02030,Glu_01_HTSeq,47.8904771800094
SARO_RS02040,Glu_01_HTSeq,118.695580931196
SARO_RS02045,Glu_01_HTSeq,32.6794631673756
SARO_RS02050,Glu_01_HTSeq,32.1404807672071
SARO_RS02055,Glu_01_HTSeq,84.9901905523725
SARO_RS02060,Glu_01_HTSeq,33.2812755545222
SARO_RS02065,Glu_01_HTSeq,51.6167931053933
SARO_RS02070,Glu_01_HTSeq,11.8424779885198
SARO_RS02075,Glu_01_HTSeq,34.7668126205324
SARO_RS02080,Glu_01_HTSeq,42.568907364139
SARO_RS02085,Glu_01_HTSeq,64.1817953127633
SARO_RS02090,Glu_01_HTSeq,7.47053352204521
SARO_RS02095,Glu_01_HTSeq,270.315844229253
SARO_RS02100,Glu_01_HTSeq,44.3185945197956
SARO_RS02105,Glu_01_HTSeq,32.7230990253059
SARO_RS02110,Glu_01_HTSeq,36.7756162166927
SARO_RS02115,Glu_01_HTSeq,18.9870685842079
SARO_RS02130,Glu_01_HTSeq,6.73327286685073
SARO_RS02135,Glu_01_HTSeq,54.0826010503138
SARO_RS02140,Glu_01_HTSeq,18.9261574719775
SARO_RS02145,Glu_01_HTSeq,71.2992405862411
SARO_RS02150,Glu_01_HTSeq,103.549607393064
SARO_RS02155,Glu_01_HTSeq,751.12234625266
SARO_RS02160,Glu_01_HTSeq,39.6229036328632
SARO_RS02170,Glu_01_HTSeq,25.6688917064658
SARO_RS02175,Glu_01_HTSeq,5.83315076115219
SARO_RS02180,Glu_01_HTSeq,40.8996683764217
SARO_RS02185,Glu_01_HTSeq,24.6163868300694
SARO_RS02190,Glu_01_HTSeq,43.5268944006834
SARO_RS02195,Glu_01_HTSeq,21.8855202766867
SARO_RS02200,Glu_01_HTSeq,46.1853396148606
SARO_RS02205,Glu_01_HTSeq,24.7916529251329
SARO_RS02210,Glu_01_HTSeq,20.7905968048204
SARO_RS02215,Glu_01_HTSeq,9.72205937582883
SARO_RS02220,Glu_01_HTSeq,23.1914757388204
SARO_RS02225,Glu_01_HTSeq,23.899628611738
SARO_RS02235,Glu_01_HTSeq,15.9728449873393
SARO_RS02240,Glu_01_HTSeq,38.8068343295897
SARO_RS02245,Glu_01_HTSeq,16.2865409301489
SARO_RS02260,Glu_01_HTSeq,40.6642011969346
SARO_RS02265,Glu_01_HTSeq,23.5011021143449
SARO_RS02270,Glu_01_HTSeq,51.7843800959952
SARO_RS02275,Glu_01_HTSeq,48.6891645289771
SARO_RS02280,Glu_01_HTSeq,2.42902555790086
